,,Silhouette,Silhouette,Silhouette,Silhouette,Silhouette,Silhouette,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Calinski-Harabasz,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin,Davies-Bouldin
Scenario,,No Data PreProcessing,Normalization,PCA,Transformation,Transformation + Normalization,Transformation + Normalization + PCA,No Data PreProcessing,Normalization,PCA,Transformation,Transformation + Normalization,Transformation + Normalization + PCA,No Data PreProcessing,Normalization,PCA,Transformation,Transformation + Normalization,Transformation + Normalization + PCA
Algorithm,Number of Clusters,,,,,,,,,,,,,,,,,,
dbscan,3,-0.3585,-0.4274,-0.3585,-0.7146,-0.4274,-0.4274,2.9168,11.1629,2.9168,30.7557,11.1629,11.1629,0.9412,1.4134,0.9412,1.5281,1.4134,1.4134
dbscan,4,-0.3585,-0.4274,-0.3585,-0.7146,-0.4274,-0.4274,2.9168,11.1629,2.9168,30.7557,11.1629,11.1629,0.9412,1.4134,0.9412,1.5281,1.4134,1.4134
dbscan,5,-0.3585,-0.4274,-0.3585,-0.7146,-0.4274,-0.4274,2.9168,11.1629,2.9168,30.7557,11.1629,11.1629,0.9412,1.4134,0.9412,1.5281,1.4134,1.4134
hclust,3,0.6663,0.0607,0.6663,0.5475,0.0607,0.0607,14724.3807,721.7452,14724.3807,311755.546,721.7452,721.7452,0.5806,2.3787,0.5806,0.5065,2.3787,2.3787
hclust,4,0.667,0.0813,0.667,0.4754,0.0813,0.0813,15605.0983,728.5675,15605.0983,292623.8974,728.5675,728.5675,0.4986,2.3035,0.4986,0.6176,2.3035,2.3035
hclust,5,0.6644,0.0891,0.6644,0.4593,0.0891,0.0891,16904.5948,739.824,16904.5948,296311.3836,739.824,739.824,0.5471,2.3236,0.5471,0.6537,2.3236,2.3236
kmeans,3,0.695,0.1147,0.695,0.548,0.1704,0.0799,15202.0688,768.0329,15202.0688,315502.989,970.0911,902.9892,0.5601,2.5171,0.5601,0.5108,2.119,2.747
kmeans,4,0.6758,0.0858,0.6758,0.5027,0.0771,0.0574,17232.3126,667.4294,17232.3126,318296.6009,726.0686,759.8312,0.5416,2.4386,0.5416,0.5843,2.291,2.0494
kmeans,5,0.6224,0.0541,0.6278,0.4865,0.0905,0.1021,20334.6668,838.2072,19802.1918,308221.5927,955.0055,839.1009,0.5643,2.1077,0.5175,0.6168,2.2757,1.8619
